# 19-site two-unit Kagome subregion bond list.
# Source: ahsan-quantum/Kagome-Lattice-VQE, "Qiskit_100_qubit Kagome VQE.ipynb",
# commented block "#-----------Two Kagome Lattice Waala---------".
# Groups are a 4-color edge coloring. Bonds within a group are disjoint and can
# be applied in parallel as one HVA color layer.
# Site indices are zero-based.
i,j,group
1,2,color0
4,6,color0
8,10,color0
11,12,color0
14,16,color0
17,18,color0
0,1,color1
2,4,color1
6,8,color1
10,11,color1
12,14,color1
16,17,color1
2,3,color2
4,5,color2
6,7,color2
8,9,color2
10,12,color2
13,14,color2
15,16,color2
1,11,color2
0,17,color2
3,4,color3
5,6,color3
7,8,color3
9,10,color3
12,13,color3
14,15,color3
16,18,color3
2,11,color3
1,17,color3
