i,j,exact_correlation,dimer_correlation,difference
1,2,-1.2957799340727916,0.0,1.2957799340727916
4,6,0.013578803221754246,0.0,-0.013578803221754246
8,10,0.022510253532835,0.0,-0.022510253532835
11,12,-0.7926396524757526,0.0,0.7926396524757526
14,16,0.013578803779759063,0.0,-0.013578803779759063
17,18,-1.3331227847658074,0.0,1.3331227847658074
0,1,-1.0673072291397157,-2.9999999999999996,-1.932692770860284
2,4,0.02251025236035624,0.0,-0.02251025236035624
6,8,0.013578804086990925,0.0,-0.013578804086990925
10,11,-0.7926396531605667,-2.9999999999999996,-2.2073603468394327
12,14,0.022510252409857275,0.0,-0.022510252409857275
16,17,0.013578803605747224,-2.9999999999999996,-3.0135788036057467
2,3,-1.067307228489443,-2.9999999999999996,-1.9326927715105566
4,5,-1.333122784241442,-2.9999999999999996,-1.6668772157585576
6,7,-1.6038691573782131,-2.9999999999999996,-1.3961308426217864
8,9,-1.8778022927491742,-2.9999999999999996,-1.1221977072508253
10,12,-1.2957799342296081,0.0,1.2957799342296081
13,14,-1.8778022926156726,0.0,1.8778022926156726
15,16,-1.6038691575809452,0.0,1.6038691575809452
1,11,-0.7926396531449966,0.0,0.7926396531449966
0,17,-1.8778022927591127,0.0,1.8778022927591127
3,4,-1.877802292705462,0.0,1.877802292705462
5,6,-1.6038691575664452,0.0,1.6038691575664452
7,8,-1.3331227852874759,0.0,1.3331227852874759
9,10,-1.0673072295825303,0.0,1.0673072295825303
12,13,-1.0673072286061416,-2.9999999999999996,-1.932692771393858
14,15,-1.333122784773808,-2.9999999999999996,-1.6668772152261915
16,18,-1.6038691574235318,0.0,1.6038691574235318
2,11,-0.7926396526741413,0.0,0.7926396526741413
1,17,0.02251025307538261,0.0,-0.02251025307538261
