covering_index,covering
0,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-17
1,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
2,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 17-18
3,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-16 17-18
4,0-1 2-3 4-5 6-7 8-9 10-11 12-13 15-16 17-18
5,0-1 2-3 4-5 6-7 8-9 10-11 12-14 15-16 17-18
6,0-1 2-3 4-5 6-7 8-9 10-11 13-14 15-16 17-18
7,0-1 2-3 4-5 6-7 8-9 10-12 13-14 15-16 17-18
8,0-1 2-3 4-5 6-7 8-9 11-12 13-14 15-16 17-18
9,0-1 2-3 4-5 6-7 8-10 11-12 13-14 15-16 17-18
10,0-1 2-3 4-5 6-7 9-10 11-12 13-14 15-16 17-18
11,0-1 2-3 4-5 6-8 9-10 11-12 13-14 15-16 17-18
12,0-1 2-3 4-5 7-8 9-10 11-12 13-14 15-16 17-18
13,0-1 2-3 4-6 7-8 9-10 11-12 13-14 15-16 17-18
14,0-1 2-3 5-6 7-8 9-10 11-12 13-14 15-16 17-18
15,0-1 2-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
16,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-17
17,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
18,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 17-18
19,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-16 17-18
20,0-1 2-11 3-4 5-6 7-8 9-10 12-13 15-16 17-18
21,0-1 2-11 3-4 5-6 7-8 9-10 12-14 15-16 17-18
22,0-1 2-11 3-4 5-6 7-8 9-10 13-14 15-16 17-18
23,0-1 2-11 3-4 5-6 7-8 10-12 13-14 15-16 17-18
24,0-1 2-11 3-4 5-6 8-9 10-12 13-14 15-16 17-18
25,0-1 2-11 3-4 6-7 8-9 10-12 13-14 15-16 17-18
26,0-1 2-11 4-5 6-7 8-9 10-12 13-14 15-16 17-18
27,0-1 3-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
28,0-17 1-2 3-4 5-6 7-8 9-10 11-12 13-14 15-16
29,0-17 1-2 3-4 5-6 7-8 9-10 11-12 13-14 16-18
30,0-17 1-2 3-4 5-6 7-8 9-10 11-12 14-15 16-18
31,0-17 1-2 3-4 5-6 7-8 9-10 12-13 14-15 16-18
32,0-17 1-2 3-4 5-6 7-8 10-11 12-13 14-15 16-18
33,0-17 1-2 3-4 5-6 8-9 10-11 12-13 14-15 16-18
34,0-17 1-2 3-4 6-7 8-9 10-11 12-13 14-15 16-18
35,0-17 1-2 4-5 6-7 8-9 10-11 12-13 14-15 16-18
36,0-17 1-11 2-3 4-5 6-7 8-9 10-12 13-14 15-16
37,0-17 1-11 2-3 4-5 6-7 8-9 10-12 13-14 16-18
38,0-17 1-11 2-3 4-5 6-7 8-9 10-12 14-15 16-18
39,0-17 1-11 2-3 4-5 6-7 8-9 12-13 14-15 16-18
40,0-17 1-11 2-3 4-5 6-7 8-10 12-13 14-15 16-18
41,0-17 1-11 2-3 4-5 6-7 9-10 12-13 14-15 16-18
42,0-17 1-11 2-3 4-5 6-8 9-10 12-13 14-15 16-18
43,0-17 1-11 2-3 4-5 7-8 9-10 12-13 14-15 16-18
44,0-17 1-11 2-3 4-6 7-8 9-10 12-13 14-15 16-18
45,0-17 1-11 2-3 5-6 7-8 9-10 12-13 14-15 16-18
46,0-17 1-11 2-4 5-6 7-8 9-10 12-13 14-15 16-18
47,0-17 1-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
48,0-17 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
49,0-17 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
50,1-2 3-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
51,1-11 2-3 4-5 6-7 8-9 10-12 13-14 15-16 17-18
52,1-17 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
53,1-17 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
