coverings,eigenvalue_index,overlap_eigenvalue,kept
1,0,0.9999999999999999,True
2,0,0.5,True
2,1,1.4999999999999998,True
8,0,-1.916934313713075e-16,False
8,1,1.2072176245606742e-17,False
8,2,4.66572065949283e-16,False
8,3,0.599859496946151,True
8,4,1.5000000000000002,True
8,5,1.6982969284345062,True
8,6,1.8446637005997044,True
8,7,2.3571798740196384,True
12,0,-2.2527367858156714e-16,False
12,1,-1.4059607876010679e-16,False
12,2,-7.937944998668206e-17,False
12,3,6.61763733513188e-17,False
12,4,6.401325632095406e-16,False
12,5,0.5999982658372445,True
12,6,1.5000000000000004,True
12,7,1.6789128881869035,True
12,8,1.7227774261613562,True
12,9,1.827735147489356,True
12,10,2.076584908399727,True
12,11,2.5939913639254133,True
16,0,-9.139230414885162e-16,False
16,1,-3.3539332448352207e-16,False
16,2,-1.508094983465646e-16,False
16,3,-7.51917536821743e-17,False
16,4,-3.213621121496909e-17,False
16,5,1.885578048734721e-16,False
16,6,4.0368322454827196e-16,False
16,7,0.5999999785907022,True
16,8,1.4999999999999996,True
16,9,1.6731747338152296,True
16,10,1.6946547998357877,True
16,11,1.738133265356546,True
16,12,1.8200915143013299,True
16,13,1.9765375133594907,True
16,14,2.2726607143458555,True
16,15,2.724747480395055,True
24,0,-6.511379506385553e-16,False
24,1,-4.804311314630076e-16,False
24,2,-3.5860926222857264e-16,False
24,3,-2.890061687478639e-17,False
24,4,8.783157475836011e-17,False
24,5,1.0332784049779341e-16,False
24,6,1.5346878621472717e-16,False
24,7,1.9858121574422934e-16,False
24,8,3.440600372471585e-16,False
24,9,6.39590149954734e-16,False
24,10,0.3917408349350297,True
24,11,0.6360362188281304,True
24,12,1.4062499999999996,True
24,13,1.59375,True
24,14,1.5941152354657153,True
24,15,1.6683412034578826,True
24,16,1.7124293788267793,True
24,17,1.7669383226687347,True
24,18,1.8119711334586548,True
24,19,1.938540318085312,True
24,20,1.9684438131013282,True
24,21,2.2981926084582147,True
24,22,2.409590524856444,True
24,23,2.803660407857772,True
32,0,-9.154520359323184e-16,False
32,1,-4.2398422495287884e-16,False
32,2,-4.0470445671974013e-16,False
32,3,-3.330769890558081e-16,False
32,4,-2.109911498543505e-16,False
32,5,8.349686260506069e-17,False
32,6,1.7966768943388082e-16,False
32,7,2.0972648918053383e-16,False
32,8,3.3351187802913523e-16,False
32,9,4.788158407257211e-16,False
32,10,5.890100024321762e-16,False
32,11,0.3565661210335613,True
32,12,0.37114235805010004,True
32,13,0.4469564082290113,True
32,14,0.5118071064526821,True
32,15,0.6189594044348974,True
32,16,0.8509353968921566,True
32,17,0.9434523838289018,True
32,18,1.273398887527839,True
32,19,1.3992339446718902,True
32,20,1.5512232063595426,True
32,21,1.6142387253216306,True
32,22,1.6886436333803199,True
32,23,1.7714333039459753,True
32,24,1.8158614450951343,True
32,25,1.8376800126177366,True
32,26,1.957227472845131,True
32,27,2.106892618540292,True
32,28,2.3258032194323937,True
32,29,2.544662366570771,True
32,30,2.7246290946216973,True
32,31,3.2892528901483358,True
54,0,-1.2043726753570852e-15,False
54,1,-1.0778131055135176e-15,False
54,2,-7.086078889940153e-16,False
54,3,-5.780289837682953e-16,False
54,4,-3.738694518924881e-16,False
54,5,-2.573907335899145e-16,False
54,6,-1.4433009952875163e-16,False
54,7,-1.0951650375356413e-16,False
54,8,-4.365793644621534e-17,False
54,9,5.975604528135758e-17,False
54,10,1.8508154990125139e-16,False
54,11,2.297338585607161e-16,False
54,12,3.6362509346364803e-16,False
54,13,5.013795270302884e-16,False
54,14,8.063433345277466e-16,False
54,15,8.624702079558866e-16,False
54,16,1.1962802899165726e-15,False
54,17,1.8329204522023136e-15,False
54,18,0.34130260485013436,True
54,19,0.348950157996597,True
54,20,0.36580867272422546,True
54,21,0.36782245607704633,True
54,22,0.422696292461424,True
54,23,0.44138250811004043,True
54,24,0.44527173012892857,True
54,25,0.4766620591365286,True
54,26,0.5483044583585462,True
54,27,0.6227667902403834,True
54,28,0.6538736819314173,True
54,29,0.7119209331156778,True
54,30,0.8868538100598905,True
54,31,1.0204320427542755,True
54,32,1.0952072562827675,True
54,33,1.429262138160842,True
54,34,1.4375216615290112,True
54,35,1.5845722825036088,True
54,36,1.5847166329344864,True
54,37,1.6641857349158904,True
54,38,1.7046631733275766,True
54,39,1.7819472788522062,True
54,40,1.793865329938843,True
54,41,1.7993166498970241,True
54,42,1.829241224080303,True
54,43,1.8789094907433344,True
54,44,1.9184076093117615,True
54,45,1.9937388202381203,True
54,46,2.0496060915400394,True
54,47,2.298944143375577,True
54,48,2.614992817086958,True
54,49,2.680217871713137,True
54,50,2.8051501060557813,True
54,51,3.2233686434733055,True
54,52,3.588289113108623,True
54,53,3.589827732985681,True
