covering_index,coefficient_real,coefficient_imag,coefficient_abs,covering
0,-0.02117619718983108,0.0,0.02117619718983108,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-17
1,-0.026712167098982175,0.0,0.026712167098982175,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
2,-0.005535969909151202,0.0,0.005535969909151202,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-15 17-18
3,-0.015637254230908327,0.0,0.015637254230908327,0-1 2-3 4-5 6-7 8-9 10-11 12-13 14-16 17-18
4,-0.010101284321757152,0.0,0.010101284321757152,0-1 2-3 4-5 6-7 8-9 10-11 12-13 15-16 17-18
5,0.025876359568627556,0.0,0.025876359568627556,0-1 2-3 4-5 6-7 8-9 10-11 12-14 15-16 17-18
6,0.035977643890384756,0.0,0.035977643890384756,0-1 2-3 4-5 6-7 8-9 10-11 13-14 15-16 17-18
7,0.07195528778076614,0.0,0.07195528778076614,0-1 2-3 4-5 6-7 8-9 10-12 13-14 15-16 17-18
8,0.03597764389038135,0.0,0.03597764389038135,0-1 2-3 4-5 6-7 8-9 11-12 13-14 15-16 17-18
9,0.025876359568630814,0.0,0.025876359568630814,0-1 2-3 4-5 6-7 8-10 11-12 13-14 15-16 17-18
10,-0.010101284321750696,0.0,0.010101284321750696,0-1 2-3 4-5 6-7 9-10 11-12 13-14 15-16 17-18
11,-0.01563725423091177,0.0,0.01563725423091177,0-1 2-3 4-5 6-8 9-10 11-12 13-14 15-16 17-18
12,-0.0055359699091609834,0.0,0.0055359699091609834,0-1 2-3 4-5 7-8 9-10 11-12 13-14 15-16 17-18
13,0.021176197189840117,0.0,0.021176197189840117,0-1 2-3 4-6 7-8 9-10 11-12 13-14 15-16 17-18
14,0.026712167099001195,0.0,0.026712167099001195,0-1 2-3 5-6 7-8 9-10 11-12 13-14 15-16 17-18
15,-0.05207937432057677,0.0,0.05207937432057677,0-1 2-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
16,-0.015637254230909985,0.0,0.015637254230909985,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-17
17,-0.010101284321748656,0.0,0.010101284321748656,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
18,0.005535969909161323,0.0,0.005535969909161323,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-15 17-18
19,-0.021176197189841924,0.0,0.021176197189841924,0-1 2-11 3-4 5-6 7-8 9-10 12-13 14-16 17-18
20,-0.026712167099003262,0.0,0.026712167099003262,0-1 2-11 3-4 5-6 7-8 9-10 12-13 15-16 17-18
21,0.05207937432057553,0.0,0.05207937432057553,0-1 2-11 3-4 5-6 7-8 9-10 12-14 15-16 17-18
22,0.07879154141957875,0.0,0.07879154141957875,0-1 2-11 3-4 5-6 7-8 9-10 13-14 15-16 17-18
23,-0.12333078483205423,0.0,0.12333078483205423,0-1 2-11 3-4 5-6 7-8 10-12 13-14 15-16 17-18
24,0.1227943683089425,0.0,0.1227943683089425,0-1 2-11 3-4 5-6 8-9 10-12 13-14 15-16 17-18
25,-0.12300739115630896,0.0,0.12300739115630896,0-1 2-11 3-4 6-7 8-9 10-12 13-14 15-16 17-18
26,0.12402793442077586,0.0,0.12402793442077586,0-1 2-11 4-5 6-7 8-9 10-12 13-14 15-16 17-18
27,-0.07879154141957802,0.0,0.07879154141957802,0-1 3-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
28,-0.12279436830894357,0.0,0.12279436830894357,0-17 1-2 3-4 5-6 7-8 9-10 11-12 13-14 15-16
29,0.12300739115630852,0.0,0.12300739115630852,0-17 1-2 3-4 5-6 7-8 9-10 11-12 13-14 16-18
30,-0.12402793442077306,0.0,0.12402793442077306,0-17 1-2 3-4 5-6 7-8 9-10 11-12 14-15 16-18
31,0.07195528778076417,0.0,0.07195528778076417,0-17 1-2 3-4 5-6 7-8 9-10 12-13 14-15 16-18
32,-0.12402793442075155,0.0,0.12402793442075155,0-17 1-2 3-4 5-6 7-8 10-11 12-13 14-15 16-18
33,0.12300739115627832,0.0,0.12300739115627832,0-17 1-2 3-4 5-6 8-9 10-11 12-13 14-15 16-18
34,-0.12279436830889216,0.0,0.12279436830889216,0-17 1-2 3-4 6-7 8-9 10-11 12-13 14-15 16-18
35,0.12333078483199295,0.0,0.12333078483199295,0-17 1-2 4-5 6-7 8-9 10-11 12-13 14-15 16-18
36,0.12300739115627371,0.0,0.12300739115627371,0-17 1-11 2-3 4-5 6-7 8-9 10-12 13-14 15-16
37,-0.1227943683088844,0.0,0.1227943683088844,0-17 1-11 2-3 4-5 6-7 8-9 10-12 13-14 16-18
38,0.12333078483198967,0.0,0.12333078483198967,0-17 1-11 2-3 4-5 6-7 8-9 10-12 14-15 16-18
39,-0.07879154141953278,0.0,0.07879154141953278,0-17 1-11 2-3 4-5 6-7 8-9 12-13 14-15 16-18
40,-0.052079374320551534,0.0,0.052079374320551534,0-17 1-11 2-3 4-5 6-7 8-10 12-13 14-15 16-18
41,0.0267121670989812,0.0,0.0267121670989812,0-17 1-11 2-3 4-5 6-7 9-10 12-13 14-15 16-18
42,0.021176197189829493,0.0,0.021176197189829493,0-17 1-11 2-3 4-5 6-8 9-10 12-13 14-15 16-18
43,-0.005535969909151728,0.0,0.005535969909151728,0-17 1-11 2-3 4-5 7-8 9-10 12-13 14-15 16-18
44,-0.015637254230908212,0.0,0.015637254230908212,0-17 1-11 2-3 4-6 7-8 9-10 12-13 14-15 16-18
45,-0.01010128432175649,0.0,0.01010128432175649,0-17 1-11 2-3 5-6 7-8 9-10 12-13 14-15 16-18
46,0.025876359568627345,0.0,0.025876359568627345,0-17 1-11 2-4 5-6 7-8 9-10 12-13 14-15 16-18
47,0.03597764389038383,0.0,0.03597764389038383,0-17 1-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
48,-0.07879154141953286,0.0,0.07879154141953286,0-17 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
49,-0.035977643890380336,0.0,0.035977643890380336,0-17 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
50,0.12333078483205549,0.0,0.12333078483205549,1-2 3-4 5-6 7-8 9-10 11-12 13-14 15-16 17-18
51,-0.12402793442075627,0.0,0.12402793442075627,1-11 2-3 4-5 6-7 8-9 10-12 13-14 15-16 17-18
52,-0.05207937432055056,0.0,0.05207937432055056,1-17 2-3 4-5 6-7 8-9 10-11 12-13 14-15 16-18
53,-0.02587635956863162,0.0,0.02587635956863162,1-17 2-11 3-4 5-6 7-8 9-10 12-13 14-15 16-18
