site,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18
0,3.0,-1.6011455350169224,-0.06482686800312423,-0.037490236917469416,0.05389221556886229,0.013277792241603761,-0.039052330122363886,0.010153605831814537,0.04139546992970588,-0.03983337672481129,-0.007029419422025524,-0.11832856027076283,0.04295756313460031,-0.038271283519916655,0.20932048945587084,-0.19526165061181977,0.081228846654517,-1.483207498047383,-0.10934652434261907
1,-1.6011455350169224,3.0,0.08200989325696427,0.0484248893517313,-0.21088258266076534,0.02733663108565475,0.1312158292111429,-0.08044780005206971,-0.12887268940380106,0.1608956001041396,0.06404582140067687,-0.8384535277271544,-0.07185628742514966,0.04686279614683677,-0.1835459515751106,0.22103618849258008,-0.12418640978911744,0.1874511845873471,0.04920593595417853
2,-0.06482686800312423,0.08200989325696427,3.0,-1.6394168185368394,-0.34756573808903923,-0.34522259828169743,0.31554282738870076,0.057797448581098546,-0.04295756313460046,-0.19760479041916162,0.19448060400937264,-0.8197084092684195,0.016401978651392896,-0.13980734183806295,-0.003905233012236411,0.07654256703983338,0.010153605831814703,0.036709190315022185,-0.012496745639156474
3,-0.037490236917469416,0.0484248893517313,-1.6394168185368394,3.0,-0.9161676646706587,0.2671179380369694,-0.3342879458474355,-0.0031241864097891724,0.036709190315022205,0.13199687581359013,-0.1585524602967977,0.02616506118198377,0.011715699036709232,-0.016401978651392833,0.0078104660244728225,0.008591512626920058,-0.004686279614683648,-0.027336631085654713,0.03046081749544386
4,0.05389221556886229,-0.21088258266076534,-0.34756573808903923,-0.9161676646706587,3.0,-1.507419942723249,-0.25618328560270764,-0.24993491278312932,0.21634990887789624,0.03670919031502218,-0.02577453788076023,0.06365529809945321,0.0031241864097891767,0.09138245248633159,-0.02577453788076018,-0.06014058838844059,0.023431398073418302,0.0007810466024472918,-0.03046081749544388
5,0.013277792241603761,0.02733663108565475,-0.34522259828169743,0.2671179380369694,-1.507419942723249,3.0,-1.1395469929705804,0.1944806040093724,-0.2577453788076022,0.0046862796146837065,0.03280395730278557,0.05818797188232221,-0.0046862796146836475,-0.0007810466024472916,0.004686279614683732,0.005467326217130888,-0.007810466024472766,0.011715699036709236,-0.005467326217130942
6,-0.039052330122363886,0.1312158292111429,0.31554282738870076,-0.3342879458474355,-0.25618328560270764,-1.1395469929705804,3.0,-1.2114032803957304,-0.24837281957823476,-0.34209841187190826,0.3124186409789117,-0.12770111950013022,-0.027336631085654792,-0.08591512626920066,0.014839885446498214,0.04842488935173119,-0.008591512626920005,0.0015620932048946443,0.012496745639156415
7,0.010153605831814537,-0.08044780005206971,0.057797448581098546,-0.0031241864097891724,-0.24993491278312932,0.1944806040093724,-1.2114032803957304,3.0,-1.4433741213225721,0.25930747201249654,-0.3264774798229627,0.08786774277531892,0.037490236917469416,0.05233012236396762,-0.021869304868523766,-0.03046081749544388,0.012496745639156471,-0.005467326217130999,-0.0039052330122363553
8,0.04139546992970588,-0.12887268940380106,-0.04295756313460046,0.036709190315022205,0.21634990887789624,-0.2577453788076022,-0.24837281957823476,-1.4433741213225721,3.0,-0.9724030200468627,-0.35225201770372283,-0.05662587867742779,0.052330122363967765,0.09294454569122618,-0.012496745639156474,-0.049205935954178597,0.006248372819578181,-0.004686279614683761,-0.010153605831814646
9,-0.03983337672481129,0.1608956001041396,-0.19760479041916162,0.13199687581359013,0.03670919031502218,0.0046862796146837065,-0.34209841187190826,0.25930747201249654,-0.9724030200468627,3.0,-1.5784951835459515,0.0870866961728716,-0.10075501171569903,-0.10309815152304079,0.054673262171309564,0.0554543087737568,-0.02811767768810209,0.005467326217130944,0.021088258266076534
10,-0.007029419422025524,0.06404582140067687,0.19448060400937264,-0.1585524602967977,-0.02577453788076023,0.03280395730278557,0.3124186409789117,-0.3264774798229627,-0.35225201770372283,-1.5784951835459515,3.0,-0.8134600364488414,-0.24524863316844572,-0.16636292632127053,0.0312418640978911,0.07498047383493872,0.0023431398073419096,-0.0015620932048945853,-0.020307211663629296
11,-0.11832856027076283,-0.8384535277271544,-0.8197084092684195,0.02616506118198377,0.06365529809945321,0.05818797188232221,-0.12770111950013022,0.08786774277531892,-0.05662587867742779,0.0870866961728716,-0.8134600364488414,3.0,-0.5627440770632648,0.11129914084873739,-0.022259828169747392,-0.19877636032283255,0.1323873991148137,0.0019526165061182015,-0.0347565738089039
12,0.04295756313460031,-0.07185628742514966,0.016401978651392896,0.011715699036709232,0.0031241864097891767,-0.0046862796146836475,-0.027336631085654792,0.037490236917469416,0.052330122363967765,-0.10075501171569903,-0.24524863316844572,-0.5627440770632648,3.0,-1.7409528768549853,-0.4108305128872689,-0.12809164280135377,0.07654256703983342,0.021088258266076545,0.004686279614683588
13,-0.038271283519916655,0.04686279614683677,-0.13980734183806295,-0.016401978651392833,0.09138245248633159,-0.0007810466024472916,-0.08591512626920066,0.05233012236396762,0.09294454569122618,-0.10309815152304079,-0.16636292632127053,0.11129914084873739,-1.7409528768549853,3.0,-0.7451184587347046,0.07185628742514966,-0.12340536318667022,-0.007029419422025477,0.03280395730278565
14,0.20932048945587084,-0.1835459515751106,-0.003905233012236411,0.0078104660244728225,-0.02577453788076018,0.004686279614683732,0.014839885446498214,-0.021869304868523766,-0.012496745639156474,0.054673262171309564,0.0312418640978911,-0.022259828169747392,-0.4108305128872689,-0.7451184587347046,3.0,-1.3707367872949752,-0.525644363447019,-0.32335329341317365,0.2975787555324134
15,-0.19526165061181977,0.22103618849258008,0.07654256703983338,0.008591512626920058,-0.06014058838844059,0.005467326217130888,0.04842488935173119,-0.03046081749544388,-0.049205935954178597,0.0554543087737568,0.07498047383493872,-0.19877636032283255,-0.12809164280135377,0.07185628742514966,-1.3707367872949752,3.0,-1.0005206977349645,0.3092944545691225,-0.3866180682114032
16,0.081228846654517,-0.12418640978911744,0.010153605831814703,-0.004686279614683648,0.023431398073418302,-0.007810466024472766,-0.008591512626920005,0.012496745639156471,0.006248372819578181,-0.02811767768810209,0.0023431398073419096,0.1323873991148137,0.07654256703983342,-0.12340536318667022,-0.525644363447019,-1.0005206977349645,3.0,-0.08903931267898972,-1.5066388961208015
17,-1.483207498047383,0.1874511845873471,0.036709190315022185,-0.027336631085654713,0.0007810466024472918,0.011715699036709236,0.0015620932048946443,-0.005467326217130999,-0.004686279614683761,0.005467326217130944,-0.0015620932048945853,0.0019526165061182015,0.021088258266076545,-0.007029419422025477,-0.32335329341317365,0.3092944545691225,-0.08903931267898972,3.0,-1.3012236396771673
18,-0.10934652434261907,0.04920593595417853,-0.012496745639156474,0.03046081749544386,-0.03046081749544388,-0.005467326217130942,0.012496745639156415,-0.0039052330122363553,-0.010153605831814646,0.021088258266076534,-0.020307211663629296,-0.0347565738089039,0.004686279614683588,0.03280395730278565,0.2975787555324134,-0.3866180682114032,-1.5066388961208015,-1.3012236396771673,3.0
