rank,scan_mode,scan_label,jprime,target_energy,target_energy_error,target_fidelity,calibrated_bond_indices,calibrated_bonds
1,triangle,triangle_4_6-7-8,1.02,-29.146131112513054,3.6996837081915146e-05,0.9999655151547645,8 14 23,6-8 6-7 7-8
2,triangle,triangle_3_4-5-6,1.02,-29.146131112512673,3.699683746205551e-05,0.9999655151557377,1 13 22,4-6 4-5 5-6
3,triangle,triangle_8_14-15-16,1.02,-29.146131112512265,3.699683787061758e-05,0.9999655151520316,4 18 26,14-16 15-16 14-15
4,triangle,triangle_9_16-17-18,1.02,-29.14613111250192,3.6996848216119815e-05,0.999965515134488,5 11 27,17-18 16-17 16-18
5,triangle,triangle_7_12-13-14,1.02,-29.146128367302435,3.974204770074152e-05,0.9999327164929209,10 17 25,12-14 13-14 12-13
6,triangle,triangle_5_8-9-10,1.02,-29.146128367301028,3.974204910761614e-05,0.9999327164912875,2 15 24,8-10 8-9 9-10
7,triangle,triangle_2_2-3-4,1.02,-29.146128367296917,3.9742053218105866e-05,0.9999327164894714,7 12 21,2-4 2-3 3-4
8,triangle,triangle_0_0-1-17,1.02,-29.146128367293986,3.974205614909465e-05,0.999932716485053,6 20 29,0-1 0-17 1-17
9,triangle,triangle_6_10-11-12,1.02,-29.146116016700958,5.20926491773821e-05,0.9999417343847502,3 9 16,11-12 10-11 10-12
10,triangle,triangle_1_1-2-11,1.02,-29.146116016699246,5.209265088979009e-05,0.9999417343840226,0 19 28,1-2 1-11 2-11
